name,startByte,startBit,dtype,size,conversion,unit,description,state,min,max,endian
bct_macros_executing_pack5,86,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit39,86,1,dn,1,1,none,Macros Executing Bitpack bit 39,,,,big
bct_macros_executing_pack_bit38,86,2,dn,1,1,none,Macros Executing Bitpack bit 38,,,,big
bct_macros_executing_pack_bit37,86,3,dn,1,1,none,Macros Executing Bitpack bit 37,,,,big
bct_macros_executing_pack_bit36,86,4,dn,1,1,none,Macros Executing Bitpack bit 36,,,,big
bct_macros_executing_pack_bit35,86,5,dn,1,1,none,Macros Executing Bitpack bit 35,,,,big
bct_macros_executing_pack_bit34,86,6,dn,1,1,none,Macros Executing Bitpack bit 34,,,,big
bct_macros_executing_pack_bit33,86,7,dn,1,1,none,Macros Executing Bitpack bit 33,,,,big
bct_macros_executing_pack6,87,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit48,87,0,dn,1,1,none,Macros Executing Bitpack bit 48,,,,big
bct_macros_executing_pack_bit47,87,1,dn,1,1,none,Macros Executing Bitpack bit 47,,,,big
bct_macros_executing_pack_bit46,87,2,dn,1,1,none,Macros Executing Bitpack bit 46,,,,big
bct_macros_executing_pack_bit45,87,3,dn,1,1,none,Macros Executing Bitpack bit 45,,,,big
bct_macros_executing_pack_bit44,87,4,dn,1,1,none,Macros Executing Bitpack bit 44,,,,big
bct_macros_executing_pack_bit43,87,5,dn,1,1,none,Macros Executing Bitpack bit 43,,,,big
bct_macros_executing_pack_bit42,87,6,dn,1,1,none,Macros Executing Bitpack bit 42,,,,big
bct_macros_executing_pack_bit41,87,7,dn,1,1,none,Macros Executing Bitpack bit 41,,,,big
bct_macros_executing_pack7,88,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit56,88,0,dn,1,1,none,Macros Executing Bitpack bit 56,,,,big
bct_macros_executing_pack_bit55,88,1,dn,1,1,none,Macros Executing Bitpack bit 55,,,,big
bct_macros_executing_pack_bit54,88,2,dn,1,1,none,Macros Executing Bitpack bit 54,,,,big
bct_macros_executing_pack_bit53,88,3,dn,1,1,none,Macros Executing Bitpack bit 53,,,,big
bct_macros_executing_pack_bit52,88,4,dn,1,1,none,Macros Executing Bitpack bit 52,,,,big
bct_macros_executing_pack_bit51,88,5,dn,1,1,none,Macros Executing Bitpack bit 51,,,,big
bct_macros_executing_pack_bit50,88,6,dn,1,1,none,Macros Executing Bitpack bit 50,,,,big
bct_macros_executing_pack_bit49,88,7,dn,1,1,none,Macros Executing Bitpack bit 49,,,,big
bct_macros_executing_pack_bit64,89,0,dn,1,1,none,Macros Executing Bitpack bit 64,,,,big
bct_macros_executing_pack8,89,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit63,89,1,dn,1,1,none,Macros Executing Bitpack bit 63,,,,big
bct_macros_executing_pack_bit62,89,2,dn,1,1,none,Macros Executing Bitpack bit 62,,,,big
bct_macros_executing_pack_bit61,89,3,dn,1,1,none,Macros Executing Bitpack bit 61,,,,big
bct_macros_executing_pack_bit60,89,4,dn,1,1,none,Macros Executing Bitpack bit 60,,,,big
bct_macros_executing_pack_bit59,89,5,dn,1,1,none,Macros Executing Bitpack bit 59,,,,big
bct_macros_executing_pack_bit58,89,6,dn,1,1,none,Macros Executing Bitpack bit 58,,,,big
bct_macros_executing_pack_bit57,89,7,dn,1,1,none,Macros Executing Bitpack bit 57,,,,big
bct_macros_executing_pack_bit72,90,0,dn,1,1,none,Macros Executing Bitpack bit 72,,,,big
bct_macros_executing_pack9,90,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit71,90,1,dn,1,1,none,Macros Executing Bitpack bit 71,,,,big
bct_macros_executing_pack_bit70,90,2,dn,1,1,none,Macros Executing Bitpack bit 70,,,,big
bct_macros_executing_pack_bit69,90,3,dn,1,1,none,Macros Executing Bitpack bit 69,,,,big
bct_macros_executing_pack_bit68,90,4,dn,1,1,none,Macros Executing Bitpack bit 68,,,,big
bct_macros_executing_pack_bit67,90,5,dn,1,1,none,Macros Executing Bitpack bit 67,,,,big
bct_macros_executing_pack_bit66,90,6,dn,1,1,none,Macros Executing Bitpack bit 66,,,,big
bct_macros_executing_pack_bit65,90,7,dn,1,1,none,Macros Executing Bitpack bit 65,,,,big
bct_macros_executing_pack10,91,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit80,91,0,dn,1,1,none,Macros Executing Bitpack bit 80,,,,big
bct_macros_executing_pack_bit79,91,1,dn,1,1,none,Macros Executing Bitpack bit 79,,,,big
bct_macros_executing_pack_bit78,91,2,dn,1,1,none,Macros Executing Bitpack bit 78,,,,big
bct_macros_executing_pack_bit77,91,3,dn,1,1,none,Macros Executing Bitpack bit 77,,,,big
bct_macros_executing_pack_bit76,91,4,dn,1,1,none,Macros Executing Bitpack bit 76,,,,big
bct_macros_executing_pack_bit75,91,5,dn,1,1,none,Macros Executing Bitpack bit 75,,,,big
bct_macros_executing_pack_bit74,91,6,dn,1,1,none,Macros Executing Bitpack bit 74,,,,big
bct_macros_executing_pack_bit73,91,7,dn,1,1,none,Macros Executing Bitpack bit 73,,,,big
bct_macros_executing_pack_bit88,92,0,dn,1,1,none,Macros Executing Bitpack bit 88,,,,big
bct_macros_executing_pack11,92,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit87,92,1,dn,1,1,none,Macros Executing Bitpack bit 87,,,,big
bct_macros_executing_pack_bit86,92,2,dn,1,1,none,Macros Executing Bitpack bit 86,,,,big
bct_macros_executing_pack_bit85,92,3,dn,1,1,none,Macros Executing Bitpack bit 85,,,,big
bct_macros_executing_pack_bit84,92,4,dn,1,1,none,Macros Executing Bitpack bit 84,,,,big
bct_macros_executing_pack_bit83,92,5,dn,1,1,none,Macros Executing Bitpack bit 83,,,,big
bct_macros_executing_pack_bit82,92,6,dn,1,1,none,Macros Executing Bitpack bit 82,,,,big
bct_macros_executing_pack_bit81,92,7,dn,1,1,none,Macros Executing Bitpack bit 81,,,,big
bct_macros_executing_pack12,93,0,dn,8,1,bitpack,Macros Executing Bitpack,,,,big
bct_macros_executing_pack_bit96,93,0,dn,1,1,none,Macros Executing Bitpack bit 96,,,,big
bct_macros_executing_pack_bit95,93,1,dn,1,1,none,Macros Executing Bitpack bit 95,,,,big
bct_macros_executing_pack_bit94,93,2,dn,1,1,none,Macros Executing Bitpack bit 94,,,,big
bct_macros_executing_pack_bit93,93,3,dn,1,1,none,Macros Executing Bitpack bit 93,,,,big
bct_macros_executing_pack_bit92,93,4,dn,1,1,none,Macros Executing Bitpack bit 92,,,,big
bct_macros_executing_pack_bit91,93,5,dn,1,1,none,Macros Executing Bitpack bit 91,,,,big
bct_macros_executing_pack_bit90,93,6,dn,1,1,none,Macros Executing Bitpack bit 90,,,,big
bct_macros_executing_pack_bit89,93,7,dn,1,1,none,Macros Executing Bitpack bit 89,,,,big
bct_package_exec_time,94,0,dn,32,1,usec,Package Execution Time,,,,big
bct_last_rt_cmd_run_count,98,0,dn,32,1,none,HR Run Count at Execution of Last Real-time Command,,,,big
bct_software_version1,102,0,dn,32,1,none,Software Version Code,,,,big
bct_software_version1_str,102,0,char,32,1,none,Software Version Code,,,,big
bct_software_version2,106,0,dn,32,1,none,Software Version Code,,,,big
bct_software_version2_str,106,0,char,32,1,none,Software Version Code,,,,big
bct_hardware_version,110,0,dn,32,1,none,Hardware Version Code,,,,big
bct_hardware_fpga_version,110,0,char,16,1,none,Hardware Version Code,,,,big
bct_hardware_build_num,112,0,dn,16,1,none,Hardware Version Code,,,,big
bct_async_running,114,0,dn,8,1,none,Async Task Running,,,,big
bct_scrub_status_part0,115,0,sn,8,1,0/OK -1/FAIL,Scrub Status Partition 0  pos int is bad table num,,,,big
bct_scrub_status_part1,116,0,sn,8,1,0/OK -1/FAIL,Scrub Status Partition 1  pos int is bad table num,,,,big
bct_scrub_status_part2,117,0,sn,8,1,0/OK -1/FAIL,Scrub Status Partition 2  pos int is bad table num,,,,big
bct_scrub_status_part3,118,0,sn,8,1,0/OK -1/FAIL,Scrub Status Partition 3  pos int is bad table num,,,,big
bct_scrub_status_part4,119,0,sn,8,1,0/OK -1/FAIL,Scrub Status Partition 4  pos int is bad table num,,,,big
bct_scrub_status_part5,120,0,sn,8,1,0/OK -1/FAIL,Scrub Status Partition 5  pos int is bad table num,,,,big
bct_scrub_status_overall,121,0,sn,8,1,0/OK -1/FAIL,Scrub Status Overall,,,,big
bct_scrub_count,122,0,dn,8,1,none,Number of times flash scrubbing has run,,,,big
bct_flash_cmd_succ_count,123,0,dn,8,1,none,Successful flash command count,,,,big
bct_flash_cmd_fail_count,124,0,dn,8,1,none,Failed flash command count,,,,big
bct_flash_last_part,125,0,dn,8,1,none,Last successful flash partition,,,,big
bct_flash_last_off,126,0,dn,32,1,none,Last successful flash offset,,,,big
bct_flash_last_check,130,0,dn,32,1,none,Last successful flash checksum or crc,,,,big
bct_image_booted,134,0,dn,8,1,0/PRIMARY 1/REDUNDANT,Which image was booted,0/PRIMARY 1/REDUNDANT,0,1,big
bct_image_auto_failover,135,0,dn,8,1,0/OK 1/FAIL,Automatic image failover occurred,0/OK 1/FAIL,0,1,big
bct_inertia1,136,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia2,140,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia3,144,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia4,148,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia5,152,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia6,156,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia7,160,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia8,164,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_inertia9,168,0,sn,32,1.00E-04,kg-m^2,Spacecraft Inertia,,,,big
bct_fs_last_off,172,0,dn,32,1,none,Last successful file offset,,,,big
bct_fs_last_len,176,0,dn,32,1,none,Last successful file length,,,,big
bct_fs_last_check,180,0,dn,32,1,none,Last successful file crc,,,,big
bct_fs_op_status,184,0,dn,8,1,0/SUCCESS_DONE 1/IN_PROG 2/BAD_PATH 3/BAD_PARAM 4/FAILURE 5/ABORTED,File System Op Status,0/SUCCESS_DONE 1/IN_PROG 2/BAD_PATH 3/BAD_PARAM 4/FAILURE 5/ABORTED,0,5,big
bct_fs_mounted,185,0,dn,8,1,0/NOT_MOUNTED 1/PRIMARY_MOUNTED 2/REDUNDANT_MOUNTED 3/BOTH_MOUNTED,FSW partition mounted,0/NOT_MOUNTED 1/PRIMARY_MOUNTED 2/REDUNDANT_MOUNTED 3/BOTH_MOUNTED,0,3,big
bct_fs_last_op,186,0,dn,8,1,0/FS_NONE 1/FS_WRITE 2/FS_READ 3/FS_CRC 4/FS_COPY 5/FS_DELETE 6/FS_EXECUTE 7/FS_COMPRESS 8/FS_MOUNT 9/FS_MD5SUM 10/FS_CCSDS_FILE,Last FS operation received (other than abort),0/FS_NONE 1/FS_WRITE 2/FS_READ 3/FS_CRC 4/FS_COPY 5/FS_DELETE 6/FS_EXECUTE 7/FS_COMPRESS 8/FS_MOUNT 9/FS_MD5SUM 10/FS_CCSDS_FILE,0,10,big
bct_ram_single_bit_error_count,187,0,dn,32,1,none,Number of single-bit error detected and corrected,,,,big
bct_tai_seconds,191,0,double,64,1,sec,TAI Seconds,,,,big
bct_cycle_time,199,0,dn,32,0.2,sec,Cycle Time,,,,big
bct_jd_of_now_wrt_tai,203,0,dn,32,1,day,Julian Date TAI,,,,big
bct_gps_update_cycle_period,207,0,dn,32,1,none,GPS Update Cycle Period,,,,big
